country,value,unit,website,date_of_page,date_of_scrape,Source,Status
Bangladesh,122.75,BDT,https://www.bb.org.bd/en/index.php/econdata/exchangerate,2026-03-27,2026-03-28,Bangladesh Bank,"low, high (avg)"
Bangladesh,122.75,BDT,https://www.bb.org.bd/en/index.php/econdata/exchangerate,2026-03-28,2026-03-29,Bangladesh Bank,"low, high (avg)"
Bangladesh,122.75,BDT,https://www.bb.org.bd/en/index.php/econdata/exchangerate,2026-03-29,2026-03-30,Bangladesh Bank,"low, high (avg)"
Bangladesh,122.75,BDT,https://www.bb.org.bd/en/index.php/econdata/exchangerate,2026-03-30,2026-03-31,Bangladesh Bank,"low, high (avg)"
Bangladesh,122.75,BDT,https://www.bb.org.bd/en/index.php/econdata/exchangerate,2026-03-31,2026-04-01,Bangladesh Bank,"low, high (avg)"
Bangladesh,122.75,BDT,https://www.bb.org.bd/en/index.php/econdata/exchangerate,2026-04-01,2026-04-02,Bangladesh Bank,"low, high (avg)"
Bangladesh,122.75,BDT,https://www.bb.org.bd/en/index.php/econdata/exchangerate,2026-04-02,2026-04-03,Bangladesh Bank,"low, high (avg)"
Bangladesh,122.75,BDT,https://www.bb.org.bd/en/index.php/econdata/exchangerate,2026-04-03,2026-04-04,Bangladesh Bank,"low, high (avg)"
Bangladesh,122.75,BDT,https://www.bb.org.bd/en/index.php/econdata/exchangerate,2026-04-04,2026-04-05,Bangladesh Bank,"low, high (avg)"
Bangladesh,122.75,BDT,https://www.bb.org.bd/en/index.php/econdata/exchangerate,2026-04-05,2026-04-06,Bangladesh Bank,"low, high (avg)"
Bangladesh,122.75,BDT,https://www.bb.org.bd/en/index.php/econdata/exchangerate,2026-04-06,2026-04-07,Bangladesh Bank,"low, high (avg)"
Bangladesh,122.825,BDT,https://www.bb.org.bd/en/index.php/econdata/exchangerate,2026-04-07,2026-04-08,Bangladesh Bank,"low, high (avg)"
Bangladesh,122.75,BDT,https://www.bb.org.bd/en/index.php/econdata/exchangerate,2026-04-08,2026-04-09,Bangladesh Bank,"low, high (avg)"
Bangladesh,122.725,BDT,https://www.bb.org.bd/en/index.php/econdata/exchangerate,2026-04-09,2026-04-10,Bangladesh Bank,"low, high (avg)"
Bangladesh,122.725,BDT,https://www.bb.org.bd/en/index.php/econdata/exchangerate,2026-04-10,2026-04-11,Bangladesh Bank,"low, high (avg)"
Bangladesh,122.725,BDT,https://www.bb.org.bd/en/index.php/econdata/exchangerate,2026-04-11,2026-04-12,Bangladesh Bank,"low, high (avg)"
Bangladesh,122.75,BDT,https://www.bb.org.bd/en/index.php/econdata/exchangerate,2026-04-12,2026-04-13,Bangladesh Bank,"low, high (avg)"
